Title,Summary,Publishing Date
Martha MacCallum: “Four Months Is A Lifetime In A Presidential Election”,"Martha MacCallum, Host of The Story 7pm ET on the Fox News Channel spoke with Fox News Radio's Guy Benson about the 2020 race for the White House.
MacCallum commented on the incumbent President's lagging polls saying,""Four months is a lifetime in a presidential election and that if you had to pick a point to sort of be at your worst moment, this July wouldn't be a bad time to do that.""
Listen To The Full Conversation Below:",07/22/2020
MUST LISTEN: Guy Gets Choked Up Describing His Moving Visit To An American Cemetery In France,"Guy describes his moving visit to an American cemetery in France, that will give you chills.
Guy described the experience by saying, ""We are the land of the free.
And some bravery is hard for many of us to even understand.
And I think having that experience yesterday and trying as best I can to share it with you.
And what it stands for, the legacy of these young men and many women as well who have given everything.""",07/22/2020
Bantam Bagels Co-Founders: Always Hustling,"Host of FOX Business Network's The Claman Countdown, Liz Claman is joined by the Co-Founders of Bantam Bagels, Nick and Elyse Oleksak.
Nick and Elyse share how they left their jobs on Wall Street to become entrepreneurs and create their iconic bagel balls.
They discuss how they landed a coveted spot on Shark Tank, partnered with Starbucks, and signed a deal in 2018 to have the company acquired for over 30 million dollars.
Today, the Oleksaks are the proud parents of two growing boys and their Bantam Bagels are in thousands of Starbucks locations and grocery stores across the United States.
Follow Liz on Twitter: @LizClaman",07/22/2020
Coronavirus Spread Sparks GOP Senate Stimulus Discussion,"This week, Bret sits down with the National Editor of The Cook Political Report Amy Walter, FOX News Correspondent Peter Doocy and FOX News Politics Editor Chris Stirewalt to discuss the recent GOP Senate coronavirus stimulus bill and the state of the 2020 race as the pandemic persists in the country.
The panel discussed the different campaigning styles of President Trump and former Vice President Joe Biden, the impact a Supreme Court opening could have on the 2020 race and the extra scrutiny that will be placed on Biden's Vice Presidential nominee.
Follow Bret on Twitter: @BretBaier",07/22/2020
"Trump Running Hard Against Crime in Portland, Other Big Cities","Howie Kurtz on President Trump mulling sending troops to cities, coronavirus task force briefings are returning and Joe Biden raising expectations in veepstakes.
Follow Howie on Twitter: @HowardKurtzFor more #MediaBuzz click here",07/22/2020
Trey Gowdy: “The Lesson Of The Beach”,"Former Congressman Trey Gowdy takes the time to thank his listeners for their appreciation of the diversity of guests and opinions on his podcast.
Trey explains why he will be exploring the topic of persuasion in the coming weeks and the importance of allowing yourself to be persuaded.
Later, Trey talks about the beach and how his perception of the beach has changed as he's gotten older.
Follow Trey on Twitter: @TGowdySC",07/22/2020
Emily Compagno & Johnny Joey Jones Top 5 Favorite Pieces Of Advice,"The FOX Top 5 podcast.
From greatest Presidential quotes, to favorite family traditions, to guilty pleasures... Join your favorite FOX News anchors, reporters and personalities every week, as they pair up to share their top five lists on a wide range of topics.
Host of ""Crimes That Changed America"" on Fox Nation Emily Compagno and host of ""FOX Nation Outdoors"" and the Proud American podcast Johnny Joey Jones get together and share their top 5 favorite pieces of advice.",07/22/2020
Leap for Literacy Program Promotes Kindness as Currency,"Being a ""Proud American"" means investing in our children and ensuring they have every opportunity to be the next great ""Proud Americans"", and one way of doing that is providing them with the tools they need to succeed.
This more often than not includes reading.
Reading is more than words on a page, it empowers us through knowledge, enriches us through imagination and connects us to an infinite timeline of various people and stories.
In this episode, Marine Corps Veteran and Proud American Johnny Joey Jones introduces us to Stan Tucker, the founder of Leap for Literacy, a literacy program he started in Atlanta with a focus on underprivileged youth.",07/22/2020
"Chris Wallace and Donald Trump Clash on Virus, Biden, Cognitive Test","Howie Kurtz on Chris Wallace fact checking President Trump during interview, Joe Biden facing growing pressure in VP choice and the passing of John Lewis.
Follow Howie on Twitter: @HowardKurtzFor more #MediaBuzz click here",07/22/2020
How Does The US Postal System Work?,"FOX Nation host Abby Hornacek takes a closer look at the topics and buzz words you find your friends and coworkers using to sound intelligent.
Each week Abby and her expert guests will tackle topics we take for granted and help to explain the roots and meanings behind them.
This week, Daniel A. Piazza, Chief Curator at the Smithsonian National Postal Museum, joins Abby in the classroom to help with her lesson plan.
Daniel discusses the history of the United States Postal System, the role the system has had in the larger development of the United States, how the system operates today, and how USPS differentiates itself from other mail delivery services.
Keep up with Abby after class on Twitter: @AbbyHornacek",07/22/2020
I’ll Tell You What Else: Dana And Stan(ley) Din,"This week we're flashing back to November 21st, 2018.
Dana is in the studio with her husband, Peter McMahon, while Chris is out with laryngitis.
Dana and Peter discuss a couple of pieces of international news including the then-pending British exit from the European Union, French President Emanual Macron's new fuel tax and Peter's ""voice for radio.""
Follow Dana Perino on Twitter: @DanaPerino and FacebookPlus pick up her books: ""And The Good News Is..."" and ""Let Me Tell You About Jasper""Follow Chris Stirewalt on Twitter: @ChrisStirewaltSubscribe to his political news note: 'FOX News Halftime Report' and order his book: ""Every Man A King: A Short, Colorful History of American Populists""Click HERE for more ""Perino & Stirewalt: I'll Tell You What""",07/22/2020
America’s Biggest Dork,"Kat has an eyelash crisis while recording the podcast.
Tyrus is scarred by too-close-for-comfort TV show.
Kat blows off steam about cows who are shamed for their flatulence.
And Tyrus learns that shockingly, there is a grown man who loves Yu-gi-oh.
Follow Tyrus on Twitter: @PlanetTyrusFollow Kat Timpf on Twitter: @KatTimpf",07/22/2020
“School’s Out for Summer. School’s Out Forever?”,"This Week:As some states are putting reopening plans on pause, the White House is urging schools to reopen ""in full.""
FOX's White House Correspondent, Jon Decker breaks down what the options are for students and teachers this fall.
FOX's Washington Correspondent Rachel Sutherland and DC Representative Eleanor Holmes Norton discusses the name change, and where the team will play their football games this fall.
As we get closer to the upcoming political conventions, the coronavirus numbers are still on the rise.
Jared spoke with the RNC's National Spokesperson Liz Harrington about the upcoming convention plan for Republicans in Jacksonville, Florida.",07/22/2020
Story on Sexual Harassment at Redskins Leads to Ouster of Top Executives,"Howie Kurtz on the Georgia Governor filing a lawsuit over mask mandate, President Trump's declining approval ratings and Washington Redskins executives being fired over sexual harassment scandal.
Follow Howie on Twitter: @HowardKurtzFor more #MediaBuzz click here",07/22/2020
Breaking Down The Latest Supreme Court Term,"Shannon Bream, host of FOX News @ Night on the FOX News Channel returns with a new ""Livin' the Bream"" podcast.
This week, Shannon sits down with Bill Mears, FOX News Supreme Court producer to discuss the latest Supreme Court term.
Bill and Shannon discuss the possible fate of President Trump's tax returns case given recent rulings, Chief Justice John Roberts' voting record being scrutinized politically and the Court's unanimous decision about faithless electors.
Follow Shannon on Twitter: @ShannonBream",07/22/2020
Dr. Ronny Jackson: We Shouldn’t Have To Worry About Kids Going Back To School,"We know you don't need to be worried about the kids.
For the most part, kids don't get this.
If they're going home and they got elderly parents or grandparents, we've got to make considerations for that they've got to be careful.
They're not they're they're not the concern here.""
I think that our kids need to be in school.""",07/22/2020
"Enes Kanter On The NBA Returning, Being Labeled A Terrorist By Turkey President Erdoğan & Wearing “Freedom” On His Jersey","Boston Celtics forward Enes Kanter, a Turkish national, spoke with Brian Kilmeade about the NBA's scheduled return on July 30th and what it is like to live in the ""NBA bubble"" in Orlando.
Kanter said the NBA has done an amazing job taking care of everything, including testing players every day for the coronavirus.
When asked about the protocol if someone on his team tests positive, Kanter said Commissioner Adam Silver told the players they will not stop the season and a player who tests positive will be quarantined for two weeks and when he is cleared he will return to the team.
Kanter also discussed the President of Turkey, Recep Erdoğan, who published a full page ad in The Washington Post, labeling him a terrorist and calling for his extradition, his father finally being freed from a Turkish prison and how his fight for freedom for the people of Turkey is far from over.
Plus, Enes revealed his social justice message on the back of his jersey when the season returns will say ""Freedom"".",07/22/2020
NSA leaker Reality Winner among more than 500 women infected with coronavirus at Texas federal medical prison,"More than 500 women at a federal medical prison in Texas have tested positive for the coronavirus, the Bureau of Prisons said, in what has become one of the largest outbreaks at a federal prison.
Only the federal prison in Seagoville, also located in the Dallas-Fort Worth area, had more infected inmates, with 1,156 cases as of Tuesday.
CLICK HERE FOR FULL CORONAVIRUS COVERAGEThree weeks ago, the prison had reported only three confirmed cases of the virus among inmates.
MORE THAN 1,000 INMATES TEST POSITIVE FOR CORONAVIRUS AT FEDERAL PRISONCarswell’s administration directed questions to the Bureau of Prisons.
Inmate Sandra Shoulders said mattresses used by women who have tested positive are piled up in a TV room.",07/22/2020
Pfizer to get $2B for coronavirus vaccine under 'Operation Warp Speed',"The U.S. government announced on Wednesday it will pay Pfizer $1.95 billion to make and deliver 100 million doses of its COVID-19 vaccine from the BNT162 vaccine program if it receives approval from the FDA.
The vaccine, which is in Phase I/II testing, is being developed by Pfizer and its German biotech partner, BioNTech.
The contract is part of ""Operation Warp Speed,"" the U.S. government's plan to quickly ramp up the development and production of vaccines to prevent the spread of COVID-19.
The first dosing of the BNT162 vaccine program began in Germany in early May, Fox News previously reported.
CLICK HERE FOR COMPLETE CORONAVIRUS COVERAGEAs of Wednesday morning, more than 14.9 million coronavirus cases have been diagnosed worldwide, more than 3.9 million of which are in the U.S., the most impacted country on the planet.",07/22/2020
"Trump's COVID-19 briefing was 'exactly what Americans needed to hear,' Dr. Saphier says","President Trump’s coronavirus briefing on Tuesday “was exactly what Americans needed to hear,” Fox News medical contributor Dr. Nicole Saphier told “Fox & Friends.”In his first official press briefing on the pandemic since April, Trump admitted that the public health crisis is likely to worsen, as cases surge across the country.
He also asked all Americans to wear masks in public.
“He gave a concise and pragmatic update without the rhetoric and without the false promises that so many people were betting on him providing,” Saphier said on Wednesday.
“It will get worse before it gets better,” Trump said of the pandemic, which has infected close to 4 million Americans.
But when we’re talking about public health, and really health care in general, it's not about absolutes.",07/22/2020
"California surpasses New York for No. 1 spot in confirmed coronavirus cases, data show","The U.S. coronavirus map aligned with the country's population data overnight when California – the nation’s most populous state – also became No.
1 in confirmed coronavirus cases.
California now has more than 409,000 confirmed cases of the virus, overtaking New York, the nation’s longtime leader and fourth most populous state, which now has just over 408,000 cases, according to Johns Hopkins University.
CORONAVIRUS IN THE US: STATE-BY-STATE BREAKDOWNIn third place is Florida, the nation's third most populous state, with just under 370,000 confirmed cases.
CLICK HERE FOR COMPLETE CORONAVIRUS COVERAGECoronavirus cases in California appear to defy a widely held assumption about the outbreak: While many people view the pandemic as affecting mostly elderly people, nearly 70 percent of the cases in California affect people under age 49, SFGate reported.",07/22/2020
Nearly 70 percent of California coronavirus cases are people under 49 years old: health officials,"California surpassed 400,000 total coronavirus cases on Tuesday, with nearly 70 percent of those cases involving people under the age of 49, according to health officials.
The California Department of Public Health (CDPH) reported 9,231 new COVID-19 infections on Tuesday, which raises the state's total number of cases to 400,769 since the start of the pandemic.
Of those cases, 276,023 are people under the age of 49, which is about 69 percent of those infected with the virus in California.
In comparison, people between the ages of 18 to 49 make up more than 60 percent of total infections in the state.
The Asian and African American populations make up 5.7 and 4.3 percent, respectively, of cases in California.",07/22/2020
Fox News Flash,"This material may not be published, broadcast, rewritten, or redistributed.
©2020 FOX News Network, LLC.
All rights reserved.
All market data delayed 20 minutes.",07/22/2020
Chicago Mayor Lori Lightfoot's statements on federal agents in Portland 'devoid' of truth: acting CBP commissioner,"Chicago Mayor Lori Lightfoot's statements about federal law enforcement agents' presence in Portland are ""devoid of any fact or truth,"" acting U.S. Customs and Border Protection Commissioner Mark Morgan stated Wednesday.
""Again, our presence in Portland is to respond to violent criminals who are willfully, knowingly, with intent, attacking federal property and the federal law enforcement that's there to defend that property.
However, many warn Lightfoot has cause for concern when it comes to the presence of federal agents in the city.
But yes, right now there [are] hundreds if not a couple of thousand of federal agents already in Chicago,"" Morgan said.
Additional federal agents are going to go into Chicago and work together to stop this violence,"" he concluded.",07/22/2020
"Chicago Mayor Lightfoot is 'running the Titanic into an iceberg intentionally,' police union chief says","Lightfoot had referred to Catanzara as ""unhinged"" and attention-seeking after the union leader wrote a letter to President Trump asking for federal assistance amid Chicago's continuing crime wave.
""The mayor likes to use the word 'unhinged' but the ironic part is the mayor became unhinged.
I wish I could show you the text messages that she sent me over the weekend as soon as she found out I sent the request to President Trump,"" Catanzara told Fox News host Laura Ingraham.
""She was the one who totally became unhinged, unprofessional, childish,"" he continued, ""and it was really pathetic for the leader of a city,"" Catanzara said.
""She is literally running the Titanic into an iceberg intentionally,"" he said.",07/22/2020
NJ Gym owner who reopened in defiance of state order held in contempt of court,"A New Jersey gym owner who reopened his business in defiance of Gov.
Phil Murphy's stay-at-home order told ""Tucker Carlson Tonight"" he is being ""hounded by the state"" for pushing back against a ""very, very clear political agenda.""
Since then, Smith said he has been served ""citation after citation...,"" was shut down by the health department, and was held in contempt of court.
NJ GYM OWNER RECEIVES SUMMONS AFTER REOPENING""The police force was initially weaponized against us with a citation after citation after citation,"" he explained.
""We were held in contempt of court and we narrowly escaped that last night.""",07/22/2020
Tucker Carlson warns against Democratic Party's efforts to remove the filibuster,"Tucker Carlson defended the filibuster Tuesday night, outlining the repercussions of its possible removal from the Senate and slamming Democrats who have vowed to remove it.
It delays the passage of laws, but it has endured through the centuries,"" Carlson said on ""Tucker Carlson Tonight.""
But that standard, the standard of 60 votes often referred to as the filibuster rule, has never changed.
Carlson asked aloud what the ramifications would be of removing the filibuster, ripping Sen. Elizabeth Warren, D-Mass., and Democratic presidential nominee Joe Biden and for suggesting it's elimination and""Now Biden appears to agree with Elizabeth Warren,"" Carlson said.
""'If Republicans won't obey the newly ascended Democratic Party,' Biden said recently, 'we'll just cut them out of the conversation.'""",07/22/2020
"Kanye West tweets, deletes that he's considering postponing presidential run to 2024: 'Y'all want me to run?'","Kanye West posted -- and subsequently deleted -- a number of tweets early Wednesday morning, including a suggestion that he may hold off on running for president until the 2024 election.
West, who announced on July 4 that he was running in this year's election, asked Twitter followers what they thought about him continuing his campaign or waiting four more years.
KANYE WEST DELETES TWEET ABOUT DIVORCING KIM KARDASHIAN: REPORT""“#2020VISION or maybe ‘24 I guess all black people supposed to vote on Biden?
West deleted several tweets that he posted overnight, with the most recent one currently still up simply saying, ""Says the future president.""
He kept tweets advertising that he has a new album coming out this Friday.",07/22/2020
Potential Biden VP pick says Sanders campaign has significant influence in drafting DNC platform,"Atlanta Mayor Keisha Lance Bottoms, a potential vice presidential pick for presumptive Democratic nominee Joe Biden who is in charge of drafting the party's 2020 platform, said on Tuesday that the campaign for former presidential candidate Bernie Sanders has a significant influence in writing the document.
""What I most appreciated about the composition of the platform committee is that there was representation not just from the Biden campaign, but also from Senator Sanders' campaign,"" she said.
And I believe the DNC platform reflects that work that is going to continue to move us forward.""
A task force set up by the Biden campaign and Sanders earlier this month released a set of recommendations for the party platform that Biden called a ""bold, transformative platform"" and Sanders called ""a good policy blueprint that will move this country in a much-needed progressive direction.""
But the difference in this moment in time with the civil rights movement -- in the civil rights movement, there was a defined, common enemy.",07/22/2020
"Sen. Ernst urges feds to block taxpayer funds for states, cities allowing 'anarchy'","""Most concerning, various city officials have used their platforms and taxpayer dollars to promote their existence, facilitate their expansion and clean up the destruction,"" the letter reads.
Ernst, a member of the Senate Judiciary Committee, requested that the department ""scrutinize any future federal funding that flows to such lawless jurisdictions.""
ERNST BILL WOULD CUT FUNDS TO CITIES, STATES THAT ALLOW CHOP-TYPE ZONES""In FY2019, the federal government provided the top 20 most populous U.S. cities over $88 billion in taxpayer dollars,"" Ernst explained.
Thank you for your time, and we look forward to your leadership in ensuring transparency for tax-payer dollars used to enable anarchy.""
This news comes less than one month after Ernst introduced legislation to end federal funding for states and localities that ""obstruct the rule of law"" by allowing autonomous zones to exist outside of police control.",07/22/2020
Sen. Pat Roberts of Kansas backs Marshall over Kobach in GOP primary,"Retiring U.S. Sen. Pat Roberts, R-Kan., has made a decision on which GOP candidate he’ll support to succeed him come January.
Roberts said Tuesday he backs U.S. Rep. Roger Marshall in the state’s Aug. 4 Republican primary over Kris Kobach, the former Kansas secretary of state and onetime chairman of the state’s Republican Party.
Roberts, 84, who has served in the Senate since 1997 and was previously a congressman from 1981 to 1997, previously said he would remain neutral in the GOP Senate race, the Star reported.
CLICK HERE TO GET THE FOX NEWS APPPresident Trump has been neutral regarding the state’s GOP Senate primary, the newspaper noted.
Earlier this month, Republicans accused Democrats of meddling in the Kansas U.S. Senate GOP primary after a Democrat-linked political action committee released a TV ad calling Kobach “too conservative” and Marshall “soft on Trump and weak on immigration.”",07/22/2020
Chicago's Lori Lightfoot tweets against Trump as bullets fly outside funeral home,"“Under no circumstances will I allow Donald Trump’s troops to come to Chicago and terrorize our residents,” Lightfoot wrote.
CHICAGO SHOOTOUT AT FUNERAL SENDS AT LEAST 14 TO HOSPITALS, POLICE SAY""We do not welcome dictatorship,"" the mayor added in a newspaper interview.
— Chicago Mayor Lori LightfootAfter news spread about the funeral home shootings, Lightfoot vowed those responsible would be held accountable.
""Too many guns are on our streets and in the hands of people who should never possess them,"" Lightfoot wrote.
Sources told the Chicago Sun-Times the funeral was for Donnie Weathersby, 31, who was gunned down last week about a mile and half northeast of the funeral parlor.",07/22/2020
US banks and financial institutions have been slowly severing ties with the gun industry,"""The federal government allows the financial industry to receive vast amounts of federal funds; however, those exact same funds free up their balance sheets enough to discriminate and play politics.""
The order allows lawmakers to squeeze major financial institutions to step in line or risk losing the state's business.
I hear a lot today about people having all sorts of problems with banks and financial institutions.""
Operation Chokepoint was eventually shuttered in August 2017 following controversy and lawsuits by companies that complained it circumvented due process and pressured the financial industry to sever ties with the firearms industry, despite no evidence of wrongdoing.
And for some financial institutions, the anti-gun approach has doubled down as a marketing move, too.",07/22/2020
Chicago shooting near funeral home is city's latest eruption of violence,"Here's what you need to know as you start your day ...Chicago shootout near funeral home sparks search for suspectsChicago police were continuing their search early Wednesday for suspects who scattered in multiple directions after a mass shooting outside a city funeral home.
The gunfire that erupted was the latest chapter of violence gripping the city.
Other related developments:- Chicago's Lori Lightfoot tweets against Trump as bullets fly outside funeral home- Chicago police warned about possibility of shooting: report- Giuliani, Kerik criticize Chicago mayor after mass shooting- What is behind the violent shootings in Chicago?
Pelosi uses ‘Trump virus’ label in dig at the presidentHouse Speaker Nancy Pelosi, D-Calif., torched President Trump in their back-and-forth war of words Tuesday, calling the coronavirus the ""Trump virus"" in an effort to blame the president's response for the ongoing pandemic.
Click here to find out what's on Fox News, Fox Business, and Fox News Radio today!",07/22/2020
"California woman, 23, held in shooting death of husband, 35, police say","A 23-year-old California woman was being held in connection with the shooting death of her husband, according to reports.
Skylar Marie Marshall was being held without bail in the San Luis Obispo County jail after being arrested last Thursday in San Luis Obispo, about 189 miles up the coast from Los Angeles.
CHICAGO-AREA WOMAN, 21, FATALLY STABBED BOYFRIEND, 23, AUTHORITIES SAYThe city’s police department received multiple calls shortly after 9 p.m. about a gunshot and a woman screaming, KEYT-TV of Santa Barbara reported.
When officers arrived at the scene, they found Alexander Hagist, 35, with a single gunshot wound.
CLICK HERE TO GET THE FOX NEWS APPInvestigators linked Marshall to the shooting and she was arrested soon after, the station reported.",07/22/2020
China threatens retaliation after US orders closure of Houston consulate,"China on Wednesday condemned what it called an “unprecedented escalation"" by the United States and threatened to retaliate after it was ordered to close the Chinese consulate in Houston.
Chinese foreign ministry spokesman Wang Wenbin said in a daily news briefing that the government had been told without warning Tuesday to close the consulate.
He said the consulate had been operating normally Tuesday and called the reported move an “unprecedented escalation,"" the South China Morning Post reported.
They couldn’t go inside.”""The US asked China to close Consulate General in Houston in 72 hours.
KPRC reported that the consulate was ordered to close by Friday along with a compound where many consulate employees live, citing police sources.",07/22/2020
"Greta Thunberg awarded $1.15M Gulbenkian Prize for Humanity, will donate to climate groups","Teenage Swedish climate activist Greta Thunberg was just awarded $1.15 million in prize money for the 2020 Gulbenkian Prize for Humanity – and she’s already pledged to give all of it away to environmental groups.
Thunberg was chosen from a field of 136 nominees selected by a panel of “internationally renowned personalities” from various fields of science, tech, politics and culture, according to the Portugal-based Calouste Gulbenkian Foundation, which administers the prize.
GRETA THUNBERG NAMED TIME'S 2019 'PERSON OF THE YEAR'Thunberg, born in 2003, quickly became an international figure due to her climate advocacy two years ago.
She was honored by Forbes Magazine as one of the “World’s 100 Most Powerful Women of 2019” and has been twice nominated for the Nobel Peace Prize, according to the Gulbenkian Foundation.
CLICK HERE TO GET THE FOX NEWS APPAccording to the foundation, the Gulbenkian Prize for Humanity aims to recognize individuals, groups or organizations whose contributions toward mitigating climate change stand out for “novelty, innovation and impact.” The €1 million prize money currently equates to about $1.15 million.",07/22/2020
"Israel’s new alternative prime minister pushed for coronavirus response to be managed by military, not health ministry","Israeli Foreign Minister Gabi Ashkenazi said Tuesday he thinks the military should take over the handling of stemming the spread of COVID-19, shifting responsibilities from the health ministry.
Prime Minister Benjamin Netanyahu is seeing a decline in his approval rating, which has fallen below 30 percent as unemployment has risen to over 20 percent, as Tel Aviv’s local publication reported.
Benny Ganzt, the alternative prime minister and former chief of the Israeli Defense Forces, has reportedly pushed to have the Command take over contact tracing and testing, a move that Ashkenazi also supports.
But Netanyhu, a member of the Likud party, is unlikely to grant the move that could empower the alternative prime minister as the PMs are already at odds over the annexation of the West Bank.
Likud Deputy Health Minister Yoav Kish has pushed against the call to have the military keep tabs on its 9 million citizens.",07/22/2020
"Karol Markowicz: As an immigrant, I know left-wing America-bashers are wrong","It’s my America-versary, the day my mother and I arrived in the United States.
The lights went out in New York and, with them, the sense of ­basic security.
It wouldn’t have been crazy for a new immigrant to wonder if he had made a mistake.
Believing in America, and that the core of our country is good and sound, shouldn’t be tied to any president or political party.
Here was a member of Congress, supremely privileged and supremely unaware of how lucky she was to have been born American.",07/22/2020
"Off-duty Florida police officer pulls boy away from passing shark, video shows","An off-duty police officer in Florida jumped into the ocean to pull a boogie-boarding boy to safety after a shark was spotted swimming toward the child in a heart-pounding video.
SHARK 'GRABBED' 10-YEAR-OLD BOY FROM BOAT IN TASMANIA: REPORTPolice shared a bystander’s video showing a shark fin cutting through the water’s surface as it swims toward the boy.
Kosicki and the boy reached the safety of the beach as the shark swam within just feet of them, according to the video.
Brevard County, where Cocoa Beach is located, has Florida’s second highest number of shark attacks behind Volusia County, according to the paper.
Volusia County, home to Daytona Beach and New Smyrna Beach, is known as the shark bite capital of the world.",07/22/2020
"Former Miss Georgia Latina, survivor of domestic violence, hopes to help others heal","As a young girl, Danessa was always fascinated by fairy tales, crystals, magic and mystical elements that intertwined with spirituality.
""We want you to be able to use your gemstone to create meaningful, magical healing and to bring positive energy into your life,"" she said.
The former Miss Georgia Latina has spoken out against domestic violence, and has done such work on military bases.
She has been honored for her part in speaking out against domestic violence and for her volunteer work.
""Stay dedicated and passionate to remain driven, but not so passionate that you fall out of balance.”",07/22/2020
"Anne Hathaway, Chris Evans, more rally support for boy, 6, who was attacked by a dog while saving his sister","Anne Hathaway, Chris Evans, Mark Ruffalo and more have all expressed kind messages in support of a 6-year-old boy named Bridger who got attacked by a dog while saving his sister.
The child’s aunt Nikki Walker recently took to Instagram and shared the story of the dog bite.
“On July 9th, my six year old nephew Bridger saved his little sister’s life by standing between her and a charging dog,” Walker wrote.
?”MARK RUFFALO WAS ASTONISHED TO LEARN THIS FACT ABOUT HIS ‘AVENGERS: ENDGAME’ CO-STAR BRIE LARSONRuffalo commented on the 6-year-old’s aunt’s post.
The “Avengers: Endgame” star added: “Real courage isn't dominating people or fighting against people or walking around like a tough guy.",07/22/2020
Veteran who survived coronavirus now on front lines of helping others through power of dance,"Román F. Baca II, a veteran and artist, survived a terrifying two week bout of COVID-19 during the coronavirus pandemic this spring in the Bronx section of New York City.
He is constantly building a support base and business for his art that seeks to inspire military veterans, victims of war, and civilians through the power of dance.
He told Fox News: “In some cases, I joined the military to face my fears.
My unit did its best with the tools we had while we were there,” he told Fox News.
Getting people to work together to create a great piece of art that connects with others, it's incredible.”",07/22/2020
MLB's 2020 pandemic-shortened season: Everything you need to know,"The 2020 MLB season will be totally different – one that has never been seen before.
After tense negotiations between the owners and the players union, Commissioner Rob Manfred stepped in to implement a 60-game season set to begin on July 23 or 24.
Additionally, the trade deadline will be Aug. 31 while the deadline for postseason eligibility is Sept. 15.
Also, active rosters will be 30 during the first two weeks of the season, 28 during the second two weeks and 26 following that.
Read below to review each team’s season preview.",07/22/2020
San Francisco Giants: 2020 coronavirus pandemic-shortened season outlook,"The San Francisco Giants will have to embrace some of the changes during the 2020 season.
He spent 13 seasons with the Giants and helped them win three World Series titles between 2007 and 2019.
The team will look to other veterans like Brandon Crawford, Evan Longoria and Hunter Pence to hold down the fort.
San Francisco will be able to compete in the National League West, but a 60-game season could be dicey and a division title is not set in stone.
Through 60 games last season, the Giants were 25-35.",07/22/2020
San Diego Padres: 2020 coronavirus pandemic-shortened season outlook,"The San Diego Padres have an exciting team with a lineup consisting of Fernando Tatis Jr., Manny Machado and Eric Hosmer.
The Padres are good enough to put together a run into the postseason given that they only have 60 games.
Should he get a chance to play a full 60 games, Tatis could become a name in the conversation for MVP.
San Diego has a young team and keeping pace with its rivals is going to be the toughest thing to do this season.
Through 60 games in 2019, the Padres were 31-29.",07/22/2020
Los Angeles Dodgers: 2020 coronavirus pandemic-shortened season outlook,"The Los Angeles Dodgers have been one of the most successful teams in baseball over the last seven years.
The team has won seven straight NL West titles and appeared in two World Series but hasn’t claimed a championship since 1988.
Could the coronavirus pandemic-shortened season change that for the Dodgers?
Los Angeles traded for Mookie Betts and David Price in the offseason.
Kenley Jansen also tested positive for the illness but he is expected to play during the season.",07/22/2020
Colorado Rockies: 2020 coronavirus pandemic-shortened season outlook,"The Colorado Rockies will look to have a turnaround season with only 60 games to try and get to the playoffs and make a run to their second World Series appearance in franchise history.
The Rockies will be without Ian Desmond, who said he was skipping the restart due to coronavirus fears.
Desmond is among the handful of players who have already opted out of the 2020 season.
Colorado might not be the favorite to win the World Series, let alone the division, but anything could really happen in a 60-game sprint to the finish.
The Rockies were 31-29 through 60 games last season.",07/22/2020
"Bob Just: As Antifa, other radicals rail against police, here's an apology to men and women in blue","And the truth is, when you die in the line of duty, a part of us dies too.
By saying “those police” may as well have been saying, those Jews, those Blacks, those Hispanics, those Whites.
The truth is that most of us are ignorant of the reality you police officers face every day.
Our police chiefs know what their men and women face every day to combat that evil and many others.
Please accept our apology – and our respect and appreciation for all that you do for us.",07/22/2020
Lauren Green: Can you be moral without believing in God?,"Is belief in God necessary in order to have good values?
""I think it is possible to be moral and not believe in God,” Volf told me.
CALIFORNIA BEACH REVIVAL ATTENDED BY 1,000: ‘THE CHURCH HAS LEFT THE BUILDING’""I don't think that it's possible to justify, to legitimize being moral, so to speak, to give reasons for being moral unless you believe in God,” Volf said.
The results, released Monday, asked more than 38,000 people in 34 countries if they thought believing in God was necessary to being moral and to being a good person.
Across the globe a median of 45 percent of people said belief in God was necessary.",07/22/2020
Amb Carla Sands: Trump administration's focus on Greenland — why we hope to strengthen our relationship,"The United States and Denmark are working together to help Greenlanders achieve the sustainable future they want.
U.S. cooperation will help Greenland increase its capabilities in mineral and energy resource sector management, sustainable tourism, and economic growth.
We are also working with partners in Maine and Alaska to increase trade in goods and services between the United States and Greenland, as well as investment.
U.S. technological breakthroughs in renewable energy, electricity storage, and carbon capture have kickstarted environmentally sustainable economic growth in our country, and Greenlanders could benefit from this technology.
Multiple generations of American scientists conduct research on the Greenland ice sheet to better understand and preserve the Arctic environment.",07/22/2020
"Arthur Herman: If Trump and labor unions team up, 2020 election could be turned upside down","Will America’s labor unions be endorsing a Republican for president this year?
If that sounds like a crazy idea, be aware that we are in a political environment, and have a Republican president, unlike any other.
Donald Trump is the first Republican president who could decisively reverse that trend.
In the end, however, it’s not so much the labor unions who will save Donald Trump.
It’s Trump who may save the labor unions.",07/22/2020
